Y;X1;X2
-27;11;-38
-40;-47;7
21;-26;47
-52;-12;-40
4;48;-44
-54;-4;-50
23;-13;36
-42;-33;-9
66;23;43
28;-4;32
-1;10;-11
26;44;-18
-25;-42;17
30;44;-14
63;17;46
-12;-26;14
95;48;47
-7;-36;29
-14;25;-39
-76;-45;-31
76;32;44
46;18;28
37;0;37
25;23;2
-40;-1;-39
-36;-28;-8
-32;-38;6
-54;-42;-12
-3;-25;22
-5;-11;6
-27;6;-33
-8;10;-18
14;22;-8
-95;-49;-46
5;-13;18
-30;-28;-2
-37;-17;-20
3;-34;37
-60;-11;-49
16;-11;27
0;-17;17
-10;-6;-4
29;-2;31
55;8;47
-55;-36;-19
7;4;3
-25;-16;-9
63;34;29
-54;-42;-12
-3;25;-28
-12;-28;16
-52;-48;-4
-29;-44;15
92;50;42
13;-26;39
-81;-36;-45
66;28;38
92;44;48
11;-14;25
-75;-40;-35
28;-6;34
13;-25;38
68;25;43
27;-17;44
11;42;-31
7;50;-43
-58;-39;-19
-13;5;-18
25;2;23
82;32;50
22;35;-13
54;36;18
-4;-31;27
11;4;7
33;31;2
36;23;13
66;25;41
-93;-50;-43
7;12;-5
-14;28;-42
13;-25;38
-57;-44;-13
-57;-34;-23
-35;-15;-20
1;-34;35
6;35;-29
73;33;40
15;48;-33
-23;-35;12
-12;-45;33
18;-26;44
-72;-43;-29
-36;-26;-10
-4;28;-32
35;-4;39
4;28;-24
52;22;30
-30;-15;-15
-45;-10;-35
-27;-48;21
59;27;32
51;28;23
52;40;12
-52;-38;-14
-42;-37;-5
-26;22;-48
-14;-45;31
27;26;1
-42;-8;-34
56;43;13
61;27;34
-6;-39;33
42;10;32
70;40;30
33;-10;43
-27;-34;7
-57;-28;-29
0;-14;14
22;39;-17
27;16;11
-49;-36;-13
24;-11;35
39;-4;43
-7;-48;41
18;40;-22
-15;27;-42
-43;-12;-31
-8;-31;23
-11;-26;15
-36;-1;-35
2;-19;21
-33;8;-41
-32;16;-48
-20;-24;4
4;39;-35
-7;-27;20
-7;17;-24
-4;15;-19
-27;-30;3
18;9;9
23;-10;33
88;48;40
-12;-1;-11
-40;-17;-23
-28;-28;0
32;15;17
1;25;-24
23;46;-23
55;8;47
15;-14;29
-48;-24;-24
-15;-50;35
-13;-45;32
15;2;13
-79;-39;-40
51;15;36
24;40;-16
12;-2;14
-66;-46;-20
-52;-29;-23
-43;6;-49
-3;47;-50
-34;3;-37
1;50;-49
-21;6;-27
-6;24;-30
-28;19;-47
-47;-8;-39
16;41;-25
3;-32;35
-17;-43;26
60;49;11
-13;22;-35
49;26;23
23;38;-15
52;32;20
1;-19;20
10;46;-36
76;42;34
-1;-18;17
-20;18;-38
-69;-40;-29
-12;29;-41
49;16;33
-53;-5;-48
74;43;31
67;38;29
69;50;19
-22;-44;22
-34;-36;2
7;36;-29
68;25;43
-32;-12;-20
10;-19;29
87;49;38
-69;-21;-48
-4;28;-32
5;0;5
21;-25;46
49;24;25
28;8;20
-7;11;-18
-67;-48;-19
-39;-9;-30
21;44;-23
13;-18;31
50;3;47
-16;-23;7
12;1;11
-54;-45;-9
-54;-11;-43
34;37;-3
-17;-22;5
-84;-45;-39
0;-17;17
64;35;29
-45;-47;2
-70;-50;-20
-90;-43;-47
38;14;24
59;13;46
54;13;41
-11;-22;11
25;45;-20
2;30;-28
4;35;-31
-36;-27;-9
-86;-48;-38
-12;8;-20
37;-7;44
14;-34;48
-41;-30;-11
11;1;10
-57;-33;-24
-40;9;-49
-33;-17;-16
30;34;-4
32;30;2
-34;-44;10
-19;7;-26
-17;-10;-7
44;33;11
19;20;-1
-9;23;-32
61;13;48
2;-5;7
15;15;0
-43;2;-45
57;27;30
2;-20;22
-41;-3;-38
-34;-18;-16
11;47;-36
-22;8;-30
50;26;24
5;-38;43
72;25;47
-4;33;-37
53;32;21
62;16;46
-62;-45;-17
-26;-18;-8
-22;6;-28
-39;-28;-11
-57;-25;-32
-35;-21;-14
-67;-18;-49
14;-8;22
-47;-23;-24
-3;-29;26
31;27;4
-23;1;-24
20;12;8
52;42;10
46;33;13
5;25;-20
-41;-12;-29
68;40;28
43;19;24
-83;-50;-33
-3;-4;1
-53;-16;-37
28;39;-11
8;26;-18
-10;11;-21
-69;-50;-19
14;11;3
-13;12;-25
49;0;49
-50;-8;-42
-37;-8;-29
2;50;-48
-11;-29;18
23;-12;35
77;41;36
-5;14;-19
-1;38;-39
-33;-44;11
21;15;6
43;42;1
-30;18;-48
42;2;40
-46;-46;0
12;44;-32
-40;-31;-9
-45;-20;-25
-48;-18;-30
-75;-29;-46
22;41;-19
35;14;21
25;37;-12
-39;-38;-1
46;3;43
-8;-32;24
-25;-9;-16
-9;5;-14
16;-10;26
-36;-48;12
53;37;16
37;38;-1
4;41;-37
7;21;-14
-36;-8;-28
-52;-21;-31
72;36;36
41;47;-6
-6;5;-11
21;1;20
37;49;-12
3;5;-2
-10;-33;23
-66;-43;-23
38;47;-9
7;12;-5
47;35;12
34;14;20
20;-22;42
-19;-11;-8
-65;-29;-36
-14;-17;3
13;9;4
83;42;41
68;18;50
3;0;3
74;29;45
10;40;-30
85;49;36
-59;-30;-29
-57;-38;-19
1;-45;46
-12;30;-42
-57;-17;-40
-18;29;-47
40;3;37
0;16;-16
-24;24;-48
24;-20;44
-80;-50;-30
-27;-35;8
44;49;-5
-4;-1;-3
30;26;4
7;32;-25
-51;-19;-32
-9;-10;1
-35;14;-49
-9;-50;41
-53;-42;-11
16;-16;32
-45;-49;4
-20;-19;-1
-51;-42;-9
-29;-16;-13
-23;-10;-13
-6;-19;13
39;4;35
1;45;-44
-29;-3;-26
40;-7;47
9;-18;27
62;42;20
-35;-20;-15
54;32;22
-7;-43;36
-39;-39;0
-15;11;-26
-13;-30;17
-18;12;-30
-53;-22;-31
-56;-7;-49
27;29;-2
-80;-38;-42
77;39;38
-79;-46;-33
-4;-14;10
48;10;38
53;23;30
-5;-40;35
-37;-48;11
43;24;19
35;47;-12
-24;-41;17
-65;-22;-43
30;2;28
54;28;26
16;35;-19
15;-5;20
20;-23;43
71;48;23
-3;-9;6
20;-29;49
-48;-30;-18
-65;-29;-36
35;16;19
37;19;18
-22;-8;-14
-1;26;-27
-20;-49;29
-49;-40;-9
38;9;29
25;-4;29
30;-5;35
40;48;-8
10;15;-5
-52;-47;-5
-42;-49;7
62;20;42
11;-21;32
-13;8;-21
58;45;13
45;13;32
-28;16;-44
3;43;-40
45;22;23
29;41;-12
40;20;20
34;17;17
24;-17;41
4;16;-12
-73;-38;-35
-62;-39;-23
27;45;-18
-17;-44;27
62;29;33
2;-9;11
48;44;4
6;-21;27
21;39;-18
52;40;12
73;48;25
-59;-31;-28
1;-14;15
32;-2;34
60;29;31
95;45;50
17;20;-3
26;38;-12
-85;-39;-46
-37;-14;-23
84;39;45
54;26;28
-46;-13;-33
-77;-37;-40
-9;34;-43
39;27;12
0;-42;42
26;-6;32
48;20;28
44;13;31
-16;28;-44
-18;-14;-4
69;25;44
-55;-9;-46
26;7;19
-25;1;-26
26;-4;30
20;-27;47
-80;-33;-47
-30;-23;-7
60;32;28
15;-12;27
-23;-6;-17
72;40;32
0;-30;30
20;-19;39
34;38;-4
15;-23;38
49;25;24
-44;-42;-2
-70;-42;-28
11;20;-9
-62;-21;-41
15;19;-4
-10;-41;31
79;31;48
-45;-12;-33
-10;-41;31
-31;10;-41
-8;8;-16
-80;-43;-37
-56;-24;-32
-3;3;-6
-86;-47;-39
-81;-36;-45
-46;-35;-11
-46;-23;-23
11;43;-32
-80;-35;-45
-76;-30;-46
-77;-37;-40
-32;-39;7
29;39;-10
2;47;-45
-49;-50;1
-70;-41;-29
84;43;41
9;20;-11
31;14;17
-5;-38;33
20;21;-1
58;13;45
23;5;18
31;21;10
27;9;18
25;6;19
-20;-36;16
9;-10;19
-6;14;-20
16;-21;37
-36;-24;-12
-17;-2;-15
-52;-31;-21
-10;-21;11
-21;-24;3
16;-9;25
19;33;-14
-43;-40;-3
-2;-1;-1
55;18;37
-4;22;-26
19;-26;45
-24;-11;-13
-71;-45;-26
-12;-5;-7
72;48;24
25;-25;50
-36;-48;12
29;3;26
-20;-28;8
14;43;-29
19;20;-1
23;14;9
7;-32;39
37;39;-2
-19;20;-39
80;30;50
74;43;31
-11;12;-23
51;18;33
-6;23;-29
1;38;-37
50;17;33
45;30;15
-70;-42;-28
-51;-30;-21
-1;-27;26
-36;8;-44
-10;20;-30
33;41;-8
36;18;18
33;38;-5
66;27;39
10;-4;14
52;16;36
-39;-44;5
51;5;46
-18;-14;-4
-72;-27;-45
-14;5;-19
92;46;46
49;45;4
6;36;-30
-66;-48;-18
-8;-20;12
14;-32;46
-69;-22;-47
31;44;-13
-16;15;-31
25;48;-23
-15;26;-41
-47;-4;-43
-41;8;-49
33;48;-15
0;48;-48
28;11;17
-14;-45;31
-11;-32;21
0;47;-47
49;47;2
17;20;-3
-54;-11;-43
-25;11;-36
-54;-15;-39
-5;32;-37
-2;-43;41
-18;8;-26
78;32;46
-28;-1;-27
47;4;43
45;8;37
0;12;-12
-28;9;-37
4;26;-22
-93;-45;-48
-12;-50;38
68;34;34
-53;-4;-49
-23;-12;-11
0;25;-25
-82;-44;-38
27;46;-19
-36;6;-42
21;2;19
40;-5;45
-2;-38;36
-52;-40;-12
4;18;-14
68;29;39
33;-10;43
51;35;16
-62;-34;-28
-50;-15;-35
-46;-24;-22
-43;-49;6
24;20;4
-63;-39;-24
63;15;48
1;-26;27
-21;-3;-18
24;45;-21
-36;-18;-18
-9;-44;35
9;-32;41
-9;-8;-1
-7;-9;2
14;13;1
65;33;32
-7;-41;34
-17;23;-40
25;33;-8
34;-15;49
65;18;47
8;10;-2
-74;-45;-29
31;16;15
17;-14;31
-34;3;-37
-50;-20;-30
-50;-22;-28
-32;-19;-13
-67;-17;-50
56;32;24
-40;-10;-30
0;-50;50
-45;-49;4
-81;-45;-36
-7;25;-32
22;8;14
72;36;36
-62;-45;-17
28;-12;40
12;-33;45
-7;-45;38
-14;4;-18
